All,Kõik
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimaalne pikkus peab olema vähemalt %1 sümbolit. Tühikuid ignoreeritakse."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Sisesta korrektne postiindeks (näiteks 92001 või 92001-1234)."
"Please enter a valid date.","Sisesta kuupäev."
"Please enter a valid zip code.","Sisesta korrektne postiindeks."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Palun sisestage kehtivad e-posti aadressid komadega. Näiteks johndoe@domain.com, johnsmith@domain.com."
"If enabled, can be used by functional tests for extended reporting","Kui lubatud. Täiendav aruandlus funktsionaalsete testide jaoks"
"Use this key to retrieve collected js errors","Selle võtme abil saate tagasi kogutud Js vead"
"UPS Next Day Air","UPS järgmise päeva lennu"
"UPS Second Day Air","UPS teise päeva Lennupost"
"UPS Worldwide Expedited","UPS kogu maailmas ekspedeeritud"
"We can't convert a rate from ""%1-%2"".","Me ei saa ""%1-%2"" kurssi konverteerida."
"User ID","Kasutaja ID"
"Edit URL Rewrite for a Category","Muuda URL ümberkirjutamine kategooriale"
"Add URL Rewrite for a Category","Lisa URL-i suunamine kategooriale"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Me ei saa luua URL ümberkirjutamist, sest valitud toode ei ole seotud veebilehega."
"Please assign a website to the selected category.","Palun määrata kategooriale veebileht."
"Temporary (302)","Ajutine (302)"
"Permanent (301)","Püsiv (301)"
"Delete Role","Kustuta roll"
Roles,Rollid
"Role Users","Rolli kasutajad"
"Role Resources","Rolli ressursid"
"Role Info",Rolliteave
"Save User","Salvesta kasutaja"
"Delete User","Kustuta kasutaja"
"Edit User '%1'","Muuda kasutajat '%1'"
"New User","Uus kasutaja"
"This account is","See konto on"
"Account Status","Konto olek"
"User Information","Kasutaja info"
"User Info","Kasutaja andmed"
"We'll email you a link to reset your password.","Saadame teile lingi salasõna muutmiseks."
"Please enter an email address.","Palun sisestage e-posti aadress."
"Locked Users","Lukustatud kasutajad"
Permissions,Õigused
"New Role","Uus roll"
"You saved the role.","Roll salvestatud."
"You saved the user.","Kasutaja salvestatud."
"Forgot your password?","Unustasid salasõna?"
"Password Lifetime (days)","Salasõna eluiga (päevades)"
"Password Change","Parooli vahetus"
"Last login","Viimane sisselogimine"
"First-Class Mail Large Envelope","Esimese klassi posti suur ümbrik"
"First-Class Mail Letter","Esimese klassi posti kiri"
Gift,Kink
"Add New Variable","Lisa uus muutuja"
"New Custom Variable","Uus kohandatud muutuja"
"No token found.","Tähist ei leitud."
"Stored Payment Method was successfully removed","Salvestatud makseviis eemaldatud edukalt"
"Stored Payment Methods","Salvestatud makseviisid"
"You have no stored payment methods.","Teil pole salvestatud makseviise."
"Delete Current Hierarchy","Kustuta praegune hierarhia"
"Page Properties","Lehe seaded"
Next/Previous,Järgmine/Eelmine
"Page ID","Lehe ID"
"Please select a website or store view.","Palun valige veebisait või poevaade."
Page:,Leht:
"Search All Products","Otsi kõikidest toodetest"
"Add Product by SKU","Lisa toode SKU järgi"
"Sort by color","Sorteeri värvi järgi"
"Product image","Toote pilt"
Attribute,Atribuut
"Color Attribute Code","Värvi atribuudikood"
"Operation allowed only in HTTPS","Toiming on lubatud ainult HTTPS'i kasutades"
"Not allowed parameters: %1. Please use only %2 and %3.","Pole lubatud parameetrid: %1. Kasutage ainult %2 ja %3."
"Web API Security","Web API turvalisus"
"503 Service Unavailable","503 Teenus pole saadaval"
"Private Sales: Login Only","Isiklik müük: Ainult sisselogitult"
"Private Sales: Login and Register","Privaatne müük: Login ja Registreerumine"
"Add Tax","Lisa maks"
"Delete Tax","Kustutada see maks"
"Fixed Product Tax","Fikseeritud toote maks"
"Total Incl. Tax","Kokku maksudega"
"Final Price","Lõplik hind"
"Display Prices In Product Lists","Näita hindu tootenimekirjades"
"Display Prices On Product View Page","Näita hindu tootevaates"
"Display Prices In Sales Modules","Näita hindu müügimoodulites"
"Display Prices In Emails","Näita hindu e-kirjades"
"Widget Insertion","Vidina lisamine"
"Insert Widget","Vidina lisamine"
Choose...,Vali...
"Assign to Store Views","Määra poevaadetesse"
"All Product Types","Kõik tootetüübid"
"Wish List Sharing","Soovinimekirja jagamine"
"My Wish List","Minu soovinimekiri"
"%1 has been moved to your wish list.","%1 lisati soovikorvi."
"Message length must not exceed %1 symbols","Sõnumi pikkus ei tohi olla pikem kui %1 sümbolit"
"Your wish list has been shared.","Soovinimekiri jagatud."
"Display number of items in wish list","Näita toodete kogust soovikorvis"
"Product is not salable.","Toode pole müüdav."
"%1 for ""%2"".","%1 ""%2"" eest."
Comment:,Kommentaar:
error-message,veateade
"Share Wish List","Jaga soovinimekirja"
"Add All to Cart","Lisa kõik ostukorvi"
"Update Wish List","Uuenda soovinimekirja"
"Move to Wishlist","Tõsta soovinimekirja"
"View Product","Vaata toodet"
"This Wish List has no Items","Soovinimekirjas pole tooteid"
"%1 has been added to your Wish List.","%1 lisati soovikorvi."
"RSS link to %1's wishlist","%1 soovinimekirja RSS link"
"RSS Feed","RSS voog"
"Wish List is empty now.","Soovinimekiri on nüüd tühi."
"Email addresses, separated by commas","E-posti aadressid, komaga eraldatult"
"Last Added Items","Viimati lisatud tooted"
"Go to Wish List","Mine soovinimekirja"
"You have no items in your wish list.","Ostukorvis pole tooteid."
"View all Wish List items","Vaata kõiki soovinimekirja tooteid"
"Wish List Section",Soovikorv
"Share Options","Jagamise valikud"
"Email Text Length Limit","E-posti teksti pikkuse piirang"
"My Wish List Link","Minu soovikirja link"
"Credit card type","Krediitkaardi tüüp"
"CVV result","CVV tulemus"
"Address AVS check","Aadress AVS kontroll"
"Country comparison check","Riikide võrdlus kontroll"
"Hide Contact Information","Peida kontaktandmed"
"Quick Checkout","Kiire ostuprotsess"
"Store alternative addresses","Poe alternatiivsed aadressid"
"For shipping to multiple family members and friends","Tarnimine mitmele pereliikmele või sõbrale"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Kui teil on küsimusi oma tellimuse kohta, siis saatke meile e-mail aadressil <a href=""mailto:%store_email"">%store_email</a>."
"Backup options","Varunduse haldamine"
Warning,Hoiatus
"Recent items","Viimased üksused"
"Show all...","Kuva kõik..."
"Method %s does not exist on jQuery.decorate","Meetodit %s pole olemas jQuery.decorate 's"
"Please wait...","Palun oota..."
Translate,Tõlgi
"Please enter a value less than or equal to %s.","Palun sisestage väärtus mis oleks väiksem või võrdne %s."
"Please enter a value greater than or equal to %s.","Palun sisestage väärtus mis oleks suurem või võrdne %s."
"Please enter a valid URL.","Palun sisestage kehtiv URL."
"Please enter a valid date (ISO).","Sisesta korrektne kuupäev (ISO)."
"Please enter a date between %min and %max.","Palun sisestage kuupäev vahemikus %min ja %max."
"Please enter a valid year (1900-%1).","Palun sisestage kehtiv aasta (1900-%1)."
"Please enter a valid day (1-%1).","Palun sisestage kehtiv päev (1-%1)."
"Please enter a date from the past.","Palun sisestage mineviku aeg."
